KOD,NAZEV,ANAZEV,DOD,DDO,NEPLATNOST,LATNAZEV
7105T031,Iberoamerikanistika,,,,,
7105T032,Klasická archeologie,,,,,
7105T033,Klasická archeologie (v kombinaci),,,,,
7105T034,Kulturně historická regionalistika,,,,,
7105T035,Kulturní dějiny,,,,,
7105T036,Kulturní historie,,,,,
7105T038,Moderní dějiny,,,,,
7105T039,Muzeologie,,,,,
7105T041,Obecné dějiny,,,,,
7105T042,Orientalistika,,,,,
7105T043,Pomocné vědy historické,,,,,
7105T044,Pravěká a raně středověká archeologie,,,,,
7105T045,Pravěká archeologie (v kombinaci),,,,,
7105T046,Regionalistika,,,,,
7105T048,Historie (jednooborová),,,,,
7105T049,Iberoamerikanistika - dějiny Latinské Ameriky,,,,,
7105T050,Hospodářské a sociální dějiny novověku,,,,,
7105T063,Historie - Starší dějiny,,,,,
7105T066,Německá studia ve středoevropském kontextu,,,,,
7105T069,Historie a ochrana průmyslového dědictví,,,,,
7105T070,České moderní dějiny (1780-1990),,,,,
7105T073,Pravěká archeologie předního východu,,,,,
7105T074,Dějiny evropské kultury,,,,,
7105T076,Ochrana kulturního dědictví,,,,,
7105T079,Dějiny starověku,,,,,
7105T080,Archeologie pravěku a středověku,,,,,
7105T082,Historie – české dějiny v evropském kontextu,,,,,
7105T083,Historie – hospodářské a sociální dějiny,,,,,
7105T087,Evropské kulturní a duchovní dějiny,,,,,
7105T088,Dějiny antické civilizace,,,,,
7105T089,TEMA – evropské společnosti: identita a vývoj /European Societies/Sociétés eur.,,,,,
7105T091,Kulturní dědictví v regionální praxi,,,,,
7105T092,Medievistika,,,,,
7105V001,Archeologie,,,,,
7105V008,Byzantologie,,,,,
7105V009,Církevní dějiny,,,,,
7105V010,České a československé dějiny,,,,,
7105V011,České a slovenské dějiny,,,,,
7105V012,České dějiny,,,,,
7105V013,Československé dějiny,,,,,
7105V015,Dějiny a kultury zemí Asie a Afriky,,,,,
7105V016,Dějiny antického starověku,,,,,
7105V017,Dějiny věd a techniky,,,,,
7105V018,Egyptologie,,,,,
7105V019,Etnologie,,,,,
7105V021,Historie,,,,,
7105V023,Historie - české a slovenské dějiny,,,,,
7105V024,Historie - české dějiny,,,,,
7105V026,Historie – obecné dějiny,,,,,
7105V028,Historie se zaměřením na české a československé dějiny,,,,,
7105V030,Hospodářské a sociální dějiny,,,,,
7105V031,Iberoamerikanistika,,,,,
7105V032,Klasická archeologie,,,,,
7105V035,Kulturní dějiny,,,,,
7105V037,Latinská medievalistika,,,,,
7105V038,Moderní dějiny,,,,,
7105V040,Národopis,,,,,
7105V041,Obecné dějiny,,,,,
7105V043,Pomocné vědy historické,,,,,
7105V044,Pravěká a raně středověká archeologie,,,,,
7105V055,Hospodářské a sociální dějiny / historie techniky,,,,,
7105V059,Pravěká a středověká archeologie,,,,,
7105V061,Církevní a obecné dějiny,,,,,
7105V068,Didaktika dějepisu,,,,,
7105V072,Moderní hospodářské a sociální dějiny,,,,,
7105V081,Historie techniky,,,,,
7105V085,Moderní dějiny střední Evropy,,,,,
7105V090,Soudobé evropské dějiny /Contemporary European History/Moderne europ. Geschichte,,,,,
7201R001,Informační studia a knihovnictví,,,,,
7201R002,Informační systémy,,,,,
7201R004,Knihovnictví,,,,,
7201R005,Vědecké informace a knihovnictví,,,,,
7201R006,Vědecké informace a knihovnictví - knihovnictví,,,,,
7201R010,Informační studia se zaměřením na knihovnictví,,,,,
7201T001,Informační studia a knihovnictví,,,,,
7201T005,Vědecké informace a knihovnictví,,,,,
7201T007,Vědeckotechnické informace,,,,,
7201T008,Informační a knihovnická studia,,,,,
7201T009,Studia nových médií,,,,,
7201T011,Knihovnictví se zaměřením na veřejné knihovny komunitního typu,,,,,
7201V003,Informační věda,,,,,
7202R001,Jazyková a literární kultura,,,,,
7202R003,Masová komunikace a žurnalistika,,,,,
7202R004,Mediální studia a žurnalistika,,,,,
7202R005,Publicistika,,,,,
7202R006,Žurnalistika,,,,,
7202R010,Marketingové a sociální komunikace,,,,,
7202R011,Hudební publicistika,,,,,
7202R012,Mediální studia,,,,,
7202R014,Marketingová komunikace a public relations,,,,,
7202R018,Sociální a masová komunikace,,,,,
7202R019,Communication and Mass Media,,,,,
7202R020,Ekonomická žurnalistika,,,,,
7202R021,Tvůrčí psaní a publicistika,,,,,
7202R022,Komunikace v médiích,,,,,
7202R024,Literární dokumentaristika a teorie čtenářství,,,,,
7202R025,Journalism and Communications,,,,,
7202R026,Sociální a mediální komunikace,,,,,
7202T002,Masová komunikace,,,,,
7202T003,Masová komunikace a žurnalistika,,,,,
7202T004,Mediální studia a žurnalistika,,,,,
7202T006,Žurnalistika,,,,,
7202T007,Žurnalistika v kombinaci,,,,,
7202T008,Interaktivní média - Mediální komunikace,,,,,
7202T009,Interaktivní média - Redakční práce,,,,,
7202T010,Marketingové a sociální komunikace,,,,,
7202T012,Mediální studia,,,,,
7202T013,Elektronická kultura a sémiotika,,,,,
7202T015,Interaktivní média,,,,,
7202T016,Mediální komunikace,,,,,
7202T017,Redakční práce,,,,,
7202T018,Sociální a masová komunikace,,,,,
7202T022,Komunikace v médiích,,,,,
7202T023,Komunikační studia,,,,,
7202T026,Sociální a mediální komunikace,,,,,
7202V003,Masová komunikace a žurnalistika,,,,,
7202V012,Mediální studia,,,,,
7202V027,Mediální a kulturální studia,,,,,
7310R001,Afrikanistika,,,,,
7310R002,Albánština,,,,,
7310R005,Anglická filologie (dvouoborová),,,,,
7310R009,Anglický jazyk a literatura,,,,,
7310R010,Angličtina,,,,,
7310R011,Angličtina a němčina pro hospodářskou praxi,,,,,
7310R012,Angličtina pro hospodářskou sféru a cestovní ruch,,,,,
7310R013,Angličtina se zaměřením na aplikovanou ekonomii,,,,,
7310R014,Anglistika - amerikanistika,,,,,
7310R015,Anglistika a amerikanistika,,,,,
7310R016,Aplikovaná filologie,,,,,
7310R017,Aplikovaná filologie - Aj a Frj pro administrativu EU,,,,,
7310R018,Aplikovaná filologie - Aj a Nj pro hospodářskou a obchodní sféru,,,,,
7310R019,Aplikovaná filologie - Rj a Nj pro hospodářskou a obchodní sféru,,,,,
7310R020,Arabština,,,,,
7310R021,Arménistika,,,,,
7105T016,Dějiny antického starověku,,,,,
7310R022,Balkanistika,,,,,
7310R023,Baltistika,,,,,
7310R024,Běloruština,,,,,
7310R025,Bengálština,,,,,
7310R026,Bulharistika,,,,,
7310R027,Bulharský jazyk a literatura,,,,,
7310R028,Cizí jazyky pro komerční praxi,,,,,
7310R029,Česká filologie,,,,,
7310R030,Česká filologie se zaměřením na editorskou práci ve sdělovacích prostředcích,,,,,
7310R031,Česká literatura,,,,,
7310R033,Český jazyk a literatura,,,,,
7310R035,"Český jazyk a literatura - česká literatura, dokument. a tvor. využití",,,,,
7310R040,Čeština pro cizince,,,,,
7310R041,Čeština v komunikaci neslyšících,,,,,
7310R043,Dánština,,,,,
7310R044,Estonština,,,,,
7310R049,Finština,,,,,
7310R050,Fonetika,,,,,
7310R051,Francouzská filologie,,,,,
7310R052,Francouzská filologie (dvouoborová),,,,,
7310R054,Francouzský jazyk a literatura,,,,,
7310R055,Francouzský jazyk pro podnikatelskou sféru,,,,,
7310R056,Francouzský jazyk s odborným zaměřením,,,,,
7310R057,Francouzština,,,,,
7310R058,Francouzština se zaměřením na aplikovanou ekonomii,,,,,
7310R059,Germanistika (němčina),,,,,
7310R061,Hebraistika,,,,,
7310R062,Hindština,,,,,
7310R064,Chorvatský jazyk a literatura,,,,,
7310R065,Indologie,,,,,
7310R066,Indonéština,,,,,
7310R067,Íránistika,,,,,
7310R068,Islandština,,,,,
7310R070,Italská filologie (dvouoborová),,,,,
7310R071,Italský jazyk,,,,,
7310R072,Italský jazyk a literatura,,,,,
7310R073,Italština,,,,,
7310R074,Japanistika,,,,,
7310R075,Japanologie,,,,,
6702T036,European Governance,,,,,
6702T037,"International Masters in Economy, State and Society",,,,,
6702T038,Central European Studies,,,,,
6702T039,Joint Master Progr. in Internat. Relations: Europe from the Visegrad Perspective,,,,,
6702T041,"Německá a středoevropská studia /German,Centr.Europ.Stud./Deuts.,mitteleur.Stud.",,,,,
6702T042,Veřejná politika a veřejná správa ve střední Evropě,,,,,
6702T043,Židovská studia,,,,,
6702V002,Evropská studia /European Studies/,,,,,
6702V004,Mezinárodní rozvojová studia,,,,,
6702V005,Mezinárodní teritoriální studia,,,,,
6702V006,Mezinárodní teritoriální studium,,,,,
6702V007,Mezinárodní vztahy a evropská studia,,,,,
6702V011,Teorie areálových studií,,,,,
6702V018,Mezinárodní a regionální vztahy v průmyslovém vlastnictví,,,,,
6703R003,Sociální antropologie,,,,,
6703R004,Sociologie,,,,,
6703R006,Sociologie a sociální politika,,,,,
6703R007,Sociologicko-ekonomická studia,,,,,
6703R009,"Humanities, Society and Culture",,,,,
6703R010,Politics and Society,,,,,
6703R012,Sociologie a sociální antropologie,,,,,
6703R013,Sociologie obecná a empirická,,,,,
6703R016,Sociální analýzy,,,,,
6703R019,Komunitní rozvoj,,,,,
6703T002,Marxisticko-leninská sociologie,,,,,
6703T003,Sociální antropologie,,,,,
6703T004,Sociologie,,,,,
6703T005,Sociologie (v kombinaci),,,,,
6703T008,Sociology,,,,,
6703T011,Applied Sociology and Public Policy,,,,,
6703T014,Management organizací služeb sociální práce,,,,,
6703T017,Kulturní sociologie,,,,,
6703T018,International Joint Master's Degree in Cultural Sociology,,,,,
6703T020,Public and Social Policy,,,,,
6703T021,Sociology in European Context,,,,,
6703V001,Humanitní environmentalistika,,,,,
6703V002,Marxisticko-leninská sociologie,,,,,
6703V004,Sociologie,,,,,
6703V005,Sociologie (v kombinaci),,,,,
6703V015,Sociální reprezentace a komunikace,,,,,
6731R002,Personální řízení,,,,,
6731R003,Profesionální poradenství a rekvalifikace,,,,,
6731R004,Profesní poradenství a rekvalifikace,,,,,
6731R005,Profesní poradenství a rekvalifikace - management lidských zdrojů,,,,,
6731R006,Sociální a charitativní práce,,,,,
6731R007,Sociální management,,,,,
6731R008,Sociální management - personalistika a sociální práce,,,,,
6731R009,Sociální management - sociální a rekvalifikační řízení,,,,,
6731R010,Sociální politika,,,,,
6731R011,Sociální politika a sociální práce,,,,,
6731R012,Sociální práce,,,,,
6731R013,Sociální práce a politika,,,,,
6731R015,Sociální práce se zaměřením na komunikaci a aplikovanou psychoterapii,,,,,
6731R017,Charitativní a sociální práce,,,,,
6731R018,Poradenství v sociální práci,,,,,
6731R021,Sociální a humanitární práce,,,,,
6731R023,Sociální práce ve veřejné správě,,,,,
6731R025,Společenská patologie a logistika terénních rizikových situací,,,,,
6731R026,Mezinárodní sociální a humanitární práce,,,,,
6731R028,Veřejná politika a lidské zdroje,,,,,
6731R029,Sociální práce s osobami se sníženou soběstačností,,,,,
6731T001,Občanský sektor,,,,,
6731T003,Profesionální poradenství a rekvalifikace,,,,,
6731T004,Profesní poradenství a rekvalifikace,,,,,
6731T006,Sociální a charitativní práce,,,,,
6731T007,Sociální management,,,,,
6731T011,Sociální politika a sociální práce,,,,,
6731T012,Sociální práce,,,,,
6731T013,Sociální práce a politika,,,,,
6731T014,Sociální práce s poradenským zaměřením,,,,,
6731T015,Sociální práce se zaměřením na komunikaci a aplikovanou psychoterapii,,,,,
6731T016,Veřejná a sociální politika,,,,,
6731T017,Charitativní a sociální práce,,,,,
6731T019,Řízení a supervize v sociálních a zdravotnických organizacích,,,,,
6731T020,Sociální práce s poradenským zaměřením na prevenci a resocializaci,,,,,
6731T024,Etika v sociální práci,,,,,
6731T026,Mezinárodní sociální a humanitární práce,,,,,
6731T027,Mezinárodní humanitární a sociální práce,,,,,
6731T028,Veřejná politika a lidské zdroje,,,,,
6731V011,Sociální politika a sociální práce,,,,,
6731V012,Sociální práce,,,,,
6731V016,Veřejná a sociální politika,,,,,
6731V022,Sociální poradenství a management sociálních služeb,,,,,
6801T002,Dějiny státu a práva,,,,,
6801T004,Finanční právo,,,,,
6801T008,Mezinárodní právo,,,,,
6801T012,Občanské právo hmotné a procesní,,,,,
6801T014,Obchodní právo,,,,,
6801T015,Pracovní právo,,,,,
6801T022,Správní a zemědělsko-družstevní právo,,,,,
6801T026,Teorie státu a práva,,,,,
6801T029,Trestní právo hmotné a procesní,,,,,
6801T031,Ústavní právo a politologie,,,,,
6801T042,International and European Law,,,,,
6801V001,Církevní právo,,,,,
6801V002,Dějiny státu a práva,,,,,
6801V003,Filozofie a sociologie práva,,,,,
6801V004,Finanční právo,,,,,
6801V005,Finanční právo a finance,,,,,
6801V006,Hospodářské právo a finanční právo,,,,,
6801V007,Kanonické právo,,,,,
6801V008,Mezinárodní právo,,,,,
6801V009,Mezinárodní právo soukromé,,,,,
6801V010,Mezinárodní právo veřejné,,,,,
6801V011,Občanské právo,,,,,
6801V012,Občanské právo hmotné a procesní,,,,,
6801V013,Obchodní a mezinárodní hospodářské právo,,,,,
6801V014,Obchodní právo,,,,,
6801V015,Pracovní právo,,,,,
6801V016,Pracovní právo a právo sociálního zabezpečení,,,,,
6801V017,Právní dějiny,,,,,
6801V018,"Právní dějiny, teorie a filozofie práva",,,,,
6801V019,Právo,,,,,
6801V020,Právo Evropských společenství,,,,,
6801V021,Právo životního prostředí,,,,,
6801V022,Správní a zemědělsko-družstevní právo,,,,,
6801V023,Správní právo,,,,,
6801V024,Správní právo - správní a zemědělsko-družstevní právo,,,,,
6801V025,Teorie práva,,,,,
6801V026,Teorie státu a práva,,,,,
6801V027,Teorie státu a práva a právní filozofie,,,,,
6801V028,Trestní právo,,,,,
6801V029,Trestní právo hmotné a procesní,,,,,
6801V030,Ústavní právo,,,,,
6801V031,Ústavní právo a politologie,,,,,
6801V032,Ústavní právo a státověda,,,,,
6801V033,Římské právo,,,,,
6801V034,"Právní dějiny, teorie práva, filosofie a sociologie práva",,,,,
6801V035,"Soukromé právo I - Občanské právo, obchodní právo, civilní proces",,,,,
6801V036,"Soukromé právo II - Obč.právo, rodinné,prac.právo, právo k nehm.stat.,civ.proces",,,,,
6801V037,"Veřejné právo I - Ústavní právo, mezinárodní právo, evropské právo",,,,,
6801V038,"Veřejné právo II - Ústav.právo,správ.právo, fin.právo, právo ŽP,právo soc.zabez.",,,,,
6801V039,"Veřejné právo III - Ústavní právo, trestní právo, kriminalistika, kriminologie",,,,,
6801V040,Dějiny práva a římské právo,,,,,
6801V041,Finanční právo a finanční vědy,,,,,
6801V042,Mezinárodní a evropské právo,,,,,
6801V043,Správní právo a právo životního prostředí,,,,,
6801V044,Evropské právo /European Law/,,,,,
6801V045,Finanční právo a finanční věda/Financial Law and Politics/,,,,,
6801V046,"Mezinárodní právo soukromé a právo mezinárodního obchodu/Pr.Int.Law,Int.Trade L/",,,,,
6801V047,"Občanské právo (civilní proces, rodin.právo, právo k nehmot.statkům)/Civil Law /",,,,,
3904R032,"Energetika, procesy a životní prostředí /Power Engineer., Processes and Envir./",,,,,
3904T001,Agroekologie,,,,,
3904T002,Aplikovaná ekologie,,,,,
3904T004,Ekotechnika,,,,,
3904T005,Environmentální inženýrství,,,,,
3904T007,Inženýrství životního prostředí,,,,,
3904T008,Ochrana životního prostředí v hutnictví,,,,,
3904T009,Ochrana životního prostředí v metalurgii,,,,,
3904T010,Ochrana životního prostředí v metalurgii - technologie a ŽP,,,,,
3904T011,Ochrana životního prostředí v metalurgii - zpracování a zneškodňování odpadů,,,,,
3904T014,Technická aplikovaná ekologie,,,,,
3904T015,Technická ekologie,,,,,
3904T016,Technika tvorby a ochrany životního prostředí,,,,,
3904T018,Technologie a technika zpracování odpadů,,,,,
3904T019,Technologie životního prostředí,,,,,
3904T020,Tepelná technika a životní prostředí,,,,,
3904T021,Zemědělská aplikovaná ekologie,,,,,
3904T022,Zpracování a zneškodňování odpadů,,,,,
3904T027,Technika a technologie zpracování odpadů,,,,,
3904T029,Minerální biotechnologie,,,,,
3904T033,Technologie zpracování a využití odpadů,,,,,
3904V005,Environmentální inženýrství,,,,,
3904V006,Hydrologie a vodní hospodářství,,,,,
3904V007,Inženýrství životního prostředí,,,,,
3904V012,Ochrana životního prostředí v průmyslu,,,,,
3906R001,Mechatronika,,,,,
3906R005,Technická diagnostika a optimalizace renovačních metod,,,,,
3906R006,Mechatronické systémy,,,,,
3906R007,Automobilová elektronika,,,,,
3906T001,Mechatronika,,,,,
3906T004,Strojní inženýrství - mechatronika,,,,,
3906T006,Mechatronické systémy,,,,,
3906T007,Automobilová elektronika,,,,,
3906T008,Letadlová a kosmická technika,,,,,
3906V002,Nauka o nekovových materiálech a stavebních hmotách,,,,,
3906V003,Nové materiály a technologie,,,,,
3907R001,Elektroenergetika,,,,,
3907R004,Provoz a řízení v energetice,,,,,
3907R005,"Provoz, ekonomika a management v energetice",,,,,
3907R008,Energetika – teplárenství,,,,,
3907R009,Provoz energetických zařízení,,,,,
3907R012,Energetika 21. století,,,,,
3907T000,Kmenový obor: Energetika,,,,,
3907T001,Elektroenergetika,,,,,
3907T002,Energetika /Energetics/,,,,,
3907T007,Jaderná elektroenergetika,,,,,
3907T008,Energetika – teplárenství,,,,,
3907T010,Stavby pro energetiku,,,,,
3907T011,Jaderná energetická zařízení,,,,,
3907T012,Energetika 21. století,,,,,
3907T013,Technologie procesů v energetice /Technology of Processes in Energetics/,,,,,
3907V001,Elektroenergetika,,,,,
3907V002,Energetika,,,,,
3907V003,Energetika v chemicko-technologických procesech,,,,,
3907V006,Technologie jaderných paliv,,,,,
3908R001,Bezpečnost práce a procesů,,,,,
3908R003,Havarijní plánování a krizové řízení,,,,,
3908R005,Technická bezpečnost osob a majetku,,,,,
3908R006,Technika požární ochrany a bezpečnosti průmyslu,,,,,
3908R008,Bezpečnost práce v nevýrobní sféře,,,,,
3908R010,Plánování a řízení krizových situací,,,,,
3908T002,Bezpečnostní inženýrství,,,,,
3908T005,Technická bezpečnost osob a majetku,,,,,
3908T006,Technika požární ochrany a bezpečnosti průmyslu,,,,,
3908T007,Bezpečnostní  plánování,,,,,
3908T011,Civilní nouzové plánování,,,,,
6207T024,Quantitative Economic Analysis,,,,,
6207V001,Ekonometrie,,,,,
6207V002,Ekonometrie a operační výzkum,,,,,
6207V003,Ekonomická statistika,,,,,
6207V009,Operační výzkum,,,,,
6207V012,Statistika,,,,,
6207V022,Výpočtová ekonomie a finance,,,,,
6208R000,Kmenový obor: Ekonomika a management,,,,,
6208R001,Bankovní management,,,,,
6208R002,Ekologický management,,,,,
6208R003,Ekonomie a management,,,,,
6208R005,Ekonomie podnikání,,,,,
6208R006,Ekonomika a hygiena výživy,,,,,
6208R007,Ekonomika a management,,,,,
6208R008,Ekonomika a management obchodu,,,,,
6208R009,Ekonomika a management podniku,,,,,
6208R011,Ekonomika a právo v podnikání,,,,,
6208R017,Ekonomika nevýrobní sféry a sociálního rozvoje,,,,,
6208R018,Ekonomika podnikání v obchodě a službách,,,,,
6208R019,Ekonomika podnikání v obchodě a službách - informat. a její využ.v obch.a služ.,,,,,
6208R020,Ekonomika podniku,,,,,
6208R021,Ekonomika podniku a management,,,,,
6208R024,Ekonomika strojírenství,,,,,
6208R025,Ekonomika terciární sféry,,,,,
6208R029,Ekonomika zemědělství a potravinářství,,,,,
6208R030,Elektronické obchodování,,,,,
6208R031,Environmentální management,,,,,
6208R032,Firemní ekonomika,,,,,
6208R033,Firemní finance,,,,,
6208R034,Firemní management,,,,,
6208R036,Informatika a internet v podnikání,,,,,
6208R037,Management,,,,,
6208R038,Management a ekonomika,,,,,
6208R039,Management a podnikání,,,,,
6208R040,Management finanční,,,,,
6208R041,Management informačních systémů,,,,,
6208R042,Management lidských zdrojů,,,,,
6208R043,Management obchodní činnosti,,,,,
6208R044,Management obchodních činností,,,,,
6208R045,Management organizací,,,,,
6208R046,Management podnikatelské sféry,,,,,
6208R047,Management podnikatelské sféry a veřejných služeb,,,,,
6208R048,Management sportovní,,,,,
6208R049,Management sportu a trenérství,,,,,
6208R050,Management tělesné výchovy a sportu,,,,,
6208R051,Management v podnikání,,,,,
6208R052,Management veřejných služeb,,,,,
6208R053,Manager sportu,,,,,
6208R054,Manažer a ekonom firmy,,,,,
6208R055,Manažerská ekonomika,,,,,
6208R056,Manažersko-ekonomický obor,,,,,
6208R057,Manažersko-ekonomický obor - manažerství výtvarné kultury,,,,,
6208R058,Manažersko-ekonomický obor - regionální management,,,,,
6208R059,Manažerství výtvarné kultury,,,,,
6208R060,Marketing,,,,,
6208R061,Marketing a management,,,,,
6208R062,Marketing a obchod,,,,,
6208R063,Marketing pro střední stupeň řízení,,,,,
6208R064,Marketing výpočetní techniky,,,,,
6208R065,Obchod a podnikání s technikou,,,,,
6208R066,Obchod a právo v obchodu,,,,,
6208R067,Obchod se zemědělskou technikou,,,,,
6208R070,Obchodní podnikání,,,,,
6208R071,Obchodní podnikatelství,,,,,
6208R072,Obchodník v dopravě,,,,,
6208R073,Odhadcovství,,,,,
6208R074,Organizace a řízení malých a středních firem,,,,,
6208R075,Podnikání,,,,,
6208R076,Podnikání a administrativa /Business Administration/,,,,,
6208R077,Podnikání a administrativa v zemědělství,,,,,
6208R078,Podnikání a management,,,,,
6208R079,Podnikání a management obchodu,,,,,
6208R081,Podnikatel pro obchod a služby,,,,,
8204T011,Filmové a televizní umění - kamera,,,,,
8204T012,Filmové a televizní umění - produkce,,,,,
8204T013,Filmové a televizní umění - režie,,,,,
8204T014,Filmové a televizní umění - střihová skladba,,,,,
8204T015,Filmové a televizní umění - zvuková tvorba,,,,,
8204T016,Fotografie,,,,,
8204T017,Fotografie,,,,,
8204T018,Fotografie,,,,,
8204T019,Kamera,,,,,
8204T024,Produkce,,,,,
8204T025,Režie,,,,,
8204T027,Scenáristika a dramaturgie,,,,,
8204T028,Scénografie - film a televize,,,,,
8204T029,Střihová skladba,,,,,
8204T030,Televizní a filmové umění - filmová a televizní scenografie,,,,,
8204T031,Tvůrčí fotografie,,,,,
8204T033,Výtvarné umění - fotografie,,,,,
8204T035,Zvuková tvorba,,,,,
8204T036,Zvuková tvorba,,,,,
8204T038,Audiovizuální tvorba,,,,,
8204T041,Audiovizuální studia,,,,,
8204T042,Cinema and Digital Media,,,,,
8204T043,Střih a zvuk,,,,,
8204T044,Tvorba audiovizuálního díla,,,,,
8204T045,Management audiovizuální tvorby,,,,,
8204T046,Fotografie a intermediální tvorba,,,,,
8204T047,Photography and Time-Based Media,,,,,
8204T048,Cinematography,,,,,
8204T049,Restaurování fotografie,,,,,
8204T051,Mediální tvorba se specializacemi Audiovizuální tvorba a Nová média,,,,,
8204V031,Tvůrčí fotografie,,,,,
8204V037,Teorie filmové a multimediální tvorby,,,,,
8206R001,Architektonická tvorba,,,,,
8206R009,Design herních předmětů,,,,,
8206R016,Grafický design,,,,,
8206R017,Grafický design a realizace tiskovin,,,,,
8206R019,Grafika,,,,,
8206R020,Ilustrace a grafika,,,,,
8206R022,Intermediální umění,,,,,
8206R024,Knižní a propagační grafika,,,,,
8206R025,Knižní grafika,,,,,
8206R026,Knižní kultura,,,,,
8206R028,Konceptuální tendence,,,,,
8206R029,Konzervace a restaurování kamene,,,,,
8206R030,Konzervace a restaurování nástěnné malby,,,,,
8206R031,"Konzervace a restaurování papíru, knižní vazby a dokumentů",,,,,
8206R034,Malba,,,,,
8206R036,Malířství - volná tvorba,,,,,
8206R037,Marketingové komunikace,,,,,
8206R039,Obalový a grafický design,,,,,
8206R040,Oděvní návrhářství,,,,,
8206R041,Oděvní výtvarnictví,,,,,
8206R042,Propagační a reklamní tvorba,,,,,
8206R043,Průmyslový design,,,,,
8206R044,Ražená medaile a mince,,,,,
8206R045,Reklamní a agenturní služby,,,,,
8206R046,Reklamní tvorba,,,,,
8206R047,Restaurátorství textilií,,,,,
8206R048,Restaurování a konzervace kamene a souvisejících materiálů,,,,,
8206R049,Restaurování a konzervace nástěnné malby a sgrafita,,,,,
8206R050,"Restaurování a konzervace papíru, knižní vazby a dokumentů",,,,,
8206R051,Řezbářství a restaurování dřeva,,,,,
8206R054,Sklo ve výrobní práci,,,,,
8206R055,Sochařství,,,,,
8206R057,Sochařství - volná tvorba,,,,,
8206R058,Sochařství a restaurování kamene,,,,,
8206R059,Textilní tvorba,,,,,
8206R060,Textilní výtvarník,,,,,
8206R062,Tvorba uměleckého skla,,,,,
8206R063,Užitá malba,,,,,
8206R064,Užité umění,,,,,
8206R065,"Užité umění v oborech sklo, keramika, textil",,,,,
8206R066,Video - multimedia - performance,,,,,
8206R067,Vizuální komunikace,,,,,
8206R068,Výtvarné umění,,,,,
8206R074,Výtvarné umění - grafický design,,,,,
8206R075,Výtvarné umění - grafika,,,,,
8206R080,Výtvarné umění - konceptuální tendence,,,,,
8206R086,Výtvarné umění - malířství - volná tvorba,,,,,
8206R088,Výtvarné umění - oděvní výtvarnictví,,,,,
8206R094,Výtvarné umění - sochařství - volná tvorba,,,,,
8206R096,Výtvarné umění - textilní tvorba,,,,,
8206R099,Výtvarné umění - video-multimedia-performance,,,,,
8206R100,Design,,,,,
8206R101,Mediální a didaktická ilustrace,,,,,
8206R102,Multimedia a design,,,,,
8206R103,Restaurování a konzervace uměleckých děl na papíru a souvisejících materiálech,,,,,
8206R106,Grafika a vizuální komunikace,,,,,
8206R108,Výtvarná tvorba,,,,,
8206R109,Keramický design,,,,,
8206R110,Multimediální design,,,,,
8206R111,Konzervování - restaurování uměleckořemeslných děl z kovů,,,,,
8206R112,Konzervování - restaurování uměleckořemeslných děl ze skla a keramiky,,,,,
8206R113,Konzervování - restaurování uměleckořemeslných děl z textilních materiálů,,,,,
8206R115,Klasická animovaná tvorba,,,,,
8206R116,Kresba,,,,,
8206R123,Design prostředí,,,,,
8206R124,Fashion design,,,,,
8206R125,Design kovu a šperku,,,,,
8206R126,Fotografie a intermediální tvorba,,,,,
8206R127,Design nábytku,,,,,
8206R128,Výtvarná tvorba a umělecký provoz,,,,,
8206R129,Visual Art Studies,,,,,
8206R132,Intermediální a digitální tvorba,,,,,
8206T001,Architektonická tvorba,,,,,
8206T002,Architektonická tvorba - architektura a design,,,,,
8206T003,"Architektonická tvorba - architektura, interiér a nábytková tvorba",,,,,
8206T004,"Architektonická tvorba - architektura, interiér, scénografie, výstavnictví",,,,,
8206T005,"Architektonická tvorba - architektura, životní a pracovní prostředí",,,,,
8206T006,Architektonická tvorba - rekonstrukce architektonických památek,,,,,
8206T007,Architektura,,,,,
8206T008,Architektura a design,,,,,
8206T010,Design obuvi a oděvních doplňků,,,,,
8206T011,Design pracovního prostředí,,,,,
8206T012,Design výrobků,,,,,
8206T013,Design výrobků a dopravních prostředků,,,,,
8206T014,Filmová a televizní grafika,,,,,
8206T015,Glyptika,,,,,
8206T016,Grafický design,,,,,
8206T018,Grafický design a vizuální komunikace,,,,,
8206T019,Grafika,,,,,
8206T020,Ilustrace a grafika,,,,,
8206T021,Intermediální tvorba,,,,,
8206T022,Intermediální umění,,,,,
8206T023,Keramika a porcelán,,,,,
8206T027,Knižní kultura a písmo,,,,,
8206T032,Kov a šperk,,,,,
8206T033,"Kresba, grafika",,,,,
8206T034,Malba,,,,,
8206T035,Malířství - restaurování výtvarných děl malířských,,,,,
8206T036,Malířství - volná tvorba,,,,,
8206T037,Marketingové komunikace,,,,,
8206T038,Nová média,,,,,
8206T041,Oděvní výtvarnictví,,,,,
8206T043,Průmyslový design,,,,,
8206T046,Reklamní tvorba,,,,,
8206T052,Sklo,,,,,
8206T053,Sklo v architektuře,,,,,
8206T055,Sochařství,,,,,
8206T056,Sochařství - restaurování výtvarných děl sochařských,,,,,
8206T057,Sochařství - volná tvorba,,,,,
8206T059,Textilní tvorba,,,,,
8206T061,Tvorba konceptuální a intermediální,,,,,
8206T064,Užité umění,,,,,
8206T066,Video - multimedia - performance,,,,,
8206T068,Výtvarné umění,,,,,
8206T069,Výtvarné umění - design obuvi,,,,,
